algorithm_type,case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,GAP,GAPoolingPercentGAP,num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock,Case  ID,n_sku,n_initial_servers,util_rate,cost_hmin,holding_cost_work_load_relation,server_cost,cross_trainnig_cost
CIE_SA,Case: 0043,7575.94099998474,90892.2272108577,14243.9365782243,4648.29063263347,70000,2000,12035.6827422717,15.2627569764566,7,7,1,2.85714285714286,14.2857142857143,86,43,20,5,0.8,1,HPB,10,0.01
CIE_SA,Case: 0044,1644.64400005341,654353.253938441,27316.1725651357,7037.08137330494,500000,120000,-42514.0304917971,-6.10073559796351,4,5,1.25,2.4,24,128,44,10,5,0.8,1,HPB,100,0.1
CIE_SA,Case: 0045,3768.1859998703,152119.851607145,29321.6041597055,7798.24744743909,90000,25000,-30524.2155260792,-16.712404626762,7,9,1.28571428571429,2.77777777777778,13.8888888888889,164,45,20,10,0.65,1,HPB,10,0.1
CIE_SA,Case: 0046,2512.38900017738,847222.049262959,21301.9727890503,5920.07647390871,800000,20000,-101552.039055176,-10.7035004755657,3,8,2.66666666666667,2.5,25,149,46,10,10,0.65,1,HPB,100,0.01
CIE_SA,Case: 0047,2268.0110001564,585048.336940586,49924.8305762152,15123.5063643712,500000,20000,28281.2899430469,5.07955528179308,5,5,1,4,20,156,47,20,5,0.65,1,HPB,100,0.01
CIE_SA,Case: 0048,1344.67999982834,84117.4189993865,8903.29615945487,3214.12283993165,60000,12000,2294.60885422537,2.80436329448295,5,6,1.2,2,20,49,48,10,5,0.65,1,HPB,10,0.1
CIE_SA,Case: 0049,4790.05100011826,198382.153802903,44022.6362921741,12359.5175107284,110000,32000,-17350.6154953075,-8.04264254881166,7,11,1.57142857142857,2.90909090909091,14.5454545454545,106,49,20,10,0.8,100,IND,10,0.1
CIE_SA,Case: 0050,8736.57400012016,1107176.94592563,62660.9123722649,16516.0335533696,1000000,28000,109286.029181318,10.9517009672631,4,10,2.5,2.8,28,220,50,10,10,0.8,100,IND,100,0.01
CIE_SA,Case: 0051,6961.36800003052,671317.719553742,34438.383762046,12879.3357916961,600000,24000,84490.8168125852,14.3979112780815,5,6,1.2,4,20,70,51,20,5,0.8,100,IND,100,0.01
CIE_SA,Case: 0052,2411.33899998665,114032.741602625,26750.0380700309,8282.70353259413,60000,19000,510.124271534121,0.449359152851748,3,6,2,3.16666666666667,31.6666666666667,41,52,10,5,0.8,100,IND,10,0.1
CIE_SA,Case: 0053,5186.03200006485,1136513.22841012,90557.8699063358,25955.3585037796,800000,220000,-279883.112470257,-19.760225608624,7,8,1.14285714285714,2.75,13.75,231,53,20,10,0.65,100,IND,100,0.1
CIE_SA,Case: 0054,5364.77700018883,122345.890515169,22575.5899116018,6570.30060356721,90000,3200,419.758903991926,0.344273125412146,3,9,3,3.55555555555556,35.5555555555556,71,54,10,10,0.65,100,IND,10,0.01
CIE_SA,Case: 0055,5997.34100008011,108477.200210634,21331.6289838445,11545.5712267898,70000,5600,18954.7159157874,21.1731343975655,4,7,1.75,8,40,70,55,20,5,0.65,100,IND,10,0.01
CIE_SA,Case: 0056,1259.86100006104,625795.886300876,76504.0352710034,19291.8510298723,400000,130000,-96528.8794962433,-13.3636397458585,3,4,1.33333333333333,3.25,32.5,158,56,10,5,0.65,100,IND,100,0.1
CIE_SA,Case: 0057,10447.1449999809,1102401.26078465,49395.2030871554,14006.0576974954,1000000,39000,-11480.3023686486,-1.03065736505674,5,10,2,3.9,19.5,137,57,20,10,0.8,1,IND,100,0.01
CIE_SA,Case: 0058,2957.71399998665,173289.907918774,35231.1903932805,10058.7175254932,100000,28000,1969.83842831349,1.14980015719827,4,10,2.5,2.8,28,88,58,10,10,0.8,1,IND,10,0.1
CIE_SA,Case: 0059,4872.13999986649,125794.98886855,25175.277017027,7619.7118515228,70000,23000,-3849.84384076243,-2.9695312650019,6,7,1.16666666666667,3.28571428571429,16.4285714285714,64,59,20,5,0.8,1,IND,10,0.1
CIE_SA,Case: 0060,1775.48799991608,551448.123705695,28047.1034628387,8401.02024285584,500000,15000,-341.313497620984,-0.061855750510719,3,5,1.66666666666667,3,30,71,60,10,5,0.8,1,IND,100,0.01
CIE_SA,Case: 0061,11076.7409999371,148078.905833908,26815.2396815282,7263.66615237936,110000,4000,13051.7869821232,9.66604863757024,7,11,1.57142857142857,3.63636363636364,18.1818181818182,132,61,20,10,0.65,1,IND,10,0.01
